product,piece,kg,l,ml,price_gel,kcal,fats,carbs,protein,kcal_per_package,fats_per_package,carbs_per_package,protein_per_package
"ძეხვი მოხარშული ""ლიდერ ფუდი"" მოყვარულთა",0,0.9,0,0,12.95,264.4,23.68,3.18,9.46,2379.6,213.12,28.62,85.14
"სოსისი ""ლიდერ ფუდი"" სპეც-ივერია",0,0.5,0,0,12.95,221.8,18.22,4.07,20.28,1109,91.1,20.35,101.4
"სარდელი ""ლიდერ ფუდი"" ბავარიული",0,0.5,0,0,9.95,270.4,21.21,2.85,10.26,1352,106.05,14.25,51.3
"სოსისი გრილისთვის ""ლიდერ ფუდი"" ემენტალის ყველით 300გრ",0,0.3,0,0,12.95,216,20.49,1,19.26,648,61.47,3,57.78
"სოსისი გრილისთვის ""ლიდერ ფუდი"" ბავარიული",0,0.3,0,0,11.95,216,24.86,1,16.08,648,74.58,3,48.24
"შაშხი ""ლიდერ ფუდი"" ბავარიული",0,0.77,0,0,18.45,156.8,10,1.9,14.8,1207.36,77,14.63,113.96
"შაშხი ""ლიდერ ფუდი"" ღორის ბარკლის",0,0.45,0,0,14.85,109,5.5,1.85,13.08,490.5,24.75,8.325,58.86
"შაშხი ""ლიდერფუდი"" რულეტი ღორის 300გრ",0,0.3,0,0,8.2,112.9,4.8,1.13,15.75,338.7,14.4,3.39,47.25
"პაშტეტი ""შირნჰოფერი""",0,0.2,0,0,6.45,317,29,0.9,14,634,58,1.8,28
"ბეკონი მოხარშული ""შირნჰოფერი"" შტირიული",0,0.15,0,0,11.55,104,2.6,1.72,19,156,3.9,2.58,28.5
"ბეკონი ""შირნჰოფერი"" დაჭრილი",0,0.15,0,0,11.25,432,41,1.1,16,648,61.5,1.65,24
"კვერცხი ""ზოგე"" ქათმის /1",1,0,0,0,4.7,157,11.5,0.7,12.7,157,4.7,157,11.5
"კვერცხი ""კოდა"" ქათმის /0",1,0,0,0,5.95,155.7,11.3,0,13.5,155.7,5.95,155.7,11.3
"კვერცხი ""კუმისი"" ქათმის /0",1,0,0,0,6.25,157,11.5,0.7,12.7,157,6.25,157,11.5
"კვერცხი ""კუმისის ფერმერი"" ქათმის",1,0,0,0,6.35,157,11.5,0.7,12.7,157,6.35,157,11.5
"კვერცხი ""კუმისი"" ქათმის /1",1,0,0,0,6.1,157,11.5,0.7,12.7,157,6.1,157,11.5
"ყველი ""პრეზიდენტი"" ლაბნე",0,0.4,0,0,10.65,189,17,4.5,4.5,756,68,18,18
"ყველის მაგვარი ""სვანური"" სახაჭაპურე",0,0.5,0,0,6.95,235,18.5,2,15,1175,92.5,10,75
"ყველი ""სანებო"" ქარხნული",0,0.45,0,0,19.6,323,25.3,0,24.7,1453.5,113.85,0,111.15
"ყველი ""ალპური ჯავახეთის ყველი"" სულგუნი",0,0.5,0,0,12.95,328.5,26.34,1.37,21.49,1642.5,131.7,6.85,107.45
"ყველი ""პრეზიდენტი"" ლაბნე",0,0.2,0,0,6.2,189,17,4.5,4.5,378,34,9,9
"მდნარი ყველი ""პრეზიდენტი"" ჩიზბურგერი /ფენა/",0,0.15,0,0,8.45,227,17,6,12.5,340.5,25.5,9,18.75
"მდნარი ყველი ""პრეზიდენტი"" ლორით /ფენა/",0,0.15,0,0,8.45,223,17,5,12.5,334.5,25.5,7.5,18.75
"მდნარი ყველი ""პრეზიდენტი"" ნაღების /ფენა/ 150გრ",0,0.15,0,0,8.45,198,17,3.5,7.8,297,25.5,5.25,11.7
"მდნარი ყველი ""პრეზიდენტი"" ნაღების /ვანა/",0,0.2,0,0,8.95,230,18,8.5,8.5,460,36,17,17
"კრემ ყველი ""პრეზიდენტი""",0,0.275,0,0,9.55,231,22,2.9,5.3,635.25,60.5,7.975,14.575
"ყველი ""პრეზიდენტი"" მოცარელა",0,0.6,0,0,29.75,297,23,1.5,21,1782,138,9,126
"ყველი ""პრეზიდენტი"" გაუდა დაჭრილი",0,0.15,0,0,11.45,341,27,0.5,24,511.5,40.5,0.75,36
"ყველი ""პრეზიდენტი"" ედამი დაჭრილი",0,0.15,0,0,11.45,316,24,0.5,24.5,474,36,0.75,36.75
